2017-03-01 17:16:21 INFO  DeviceMatrix:35 - [DeviceDetails{deviceName='Moto G (4)', udid='ZY223D7XPB', status='null', platform=ANDROID, platformVersion='7.0', runsOn=DEVICE}, DeviceDetails{deviceName='iPhone 5', udid='682DCDE8-E994-4098-98C5-A411A3D20ECA', status='null', platform=IOS, platformVersion='9.3', runsOn=SIMULATOR}, DeviceDetails{deviceName='iPhone 5s', udid='7B906BD5-6331-48ED-B593-5D27F46FCF90', status='null', platform=IOS, platformVersion='9.3', runsOn=SIMULATOR}, DeviceDetails{deviceName='iPhone 6', udid='1BBD1612-8E25-4BC8-9A9F-DD711417FEA6', status='null', platform=IOS, platformVersion='9.3', runsOn=SIMULATOR}, DeviceDetails{deviceName='iPhone 6s', udid='1C66C35B-021D-480C-8810-9D584DAB043C', status='null', platform=IOS, platformVersion='9.3', runsOn=SIMULATOR}]
2017-03-01 17:16:26 INFO  OptimusController:114 - Starting Scenario -- clearTripDetailsOnHomepage1
2017-03-01 17:17:12 INFO  OptimusController:133 - clearTripDetailsOnHomepage1--driver instance created for ZY223D7XPB
2017-03-01 17:17:12 INFO  OptimusController:150 - clearTripDetailsOnHomepage1---BOT registered successfully for -- ZY223D7XPB
2017-03-01 17:19:44 INFO  OptimusController:101 - clearTripDetailsOnHomepage1---The following BOT de-registered successfully -- ZY223D7XPB
2017-03-02 16:35:09 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:35:43 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:35:50 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:36:16 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:36:21 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:36:23 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:36:25 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:36:28 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:36:30 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:36:53 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:36:59 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:37:04 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:37:08 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:37:13 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:37:18 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:54:59 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:55:06 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:55:11 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:55:16 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:55:21 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:55:25 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:55:56 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 16:57:02 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 17:00:56 INFO  AndroidUtil:56 - Pasrsing process -- ZY223D7XPB             device usb:336592896X product:athene_f model:Moto_G__4_ device:athene_f
2017-03-02 17:00:56 INFO  AndroidUtil:87 - Adding the following android device to device matrix --ZY223D7XPB
2017-03-02 17:01:00 INFO  AndroidUtil:116 - Adding the following iOS simulator to device matrix --682DCDE8-E994-4098-98C5-A411A3D20ECA
2017-03-02 17:01:00 INFO  AndroidUtil:116 - Adding the following iOS simulator to device matrix --7B906BD5-6331-48ED-B593-5D27F46FCF90
2017-03-02 17:01:00 INFO  AndroidUtil:116 - Adding the following iOS simulator to device matrix --1BBD1612-8E25-4BC8-9A9F-DD711417FEA6
